Date,Description,Size,Price,Rating,Rting Cnt,Source
2022-01-24,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,1888.88,4.4,0,amazon.ca
2022-01-24,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,1888.88,0,0,canadacomputers
2022-01-24,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,1794.44,0,0,canadacomputers
2022-01-25,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,1888.88,4.4,0,amazon.ca
2022-01-25,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,1888.88,0,0,canadacomputers
2022-01-25,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,1794.44,0,0,canadacomputers
2022-01-25,"Samsung Odyssey Neo G9 49"" 1440p WQHD 240Hz 1ms GTG Curved VA LED G-Sync FreeSync Gaming Monitor",49,2499.99,2.5,4,bestbuy.ca
2022-02-01,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,1888.88,4.4,0,amazon.ca
2022-02-01,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,1888.88,0,0,canadacomputers
2022-02-01,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,1794.44,0,0,canadacomputers
2022-02-02,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,1888.88,4.4,0,amazon.ca
2022-02-02,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,1888.88,0,0,canadacomputers
2022-02-02,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,1794.44,0,0,canadacomputers
2022-02-02,"Samsung Odyssey Neo G9 49"" 1440p WQHD 240Hz 1ms GTG Curved VA LED G-Sync FreeSync Gaming Monitor",49,2499.99,2.5,4,bestbuy.ca
2022-02-02,"Odyssey Neo G9 49in 32:9 Curved VA Gaming Monitor, 240Hz, 1ms, 1440P DQHD, Quantum Mini-LED, HDR, HAS",49,1888.88,0.0,0,memoryexpress
2022-02-06,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,2499.99,4.4,0,amazon.ca
2022-02-06,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,2499.99,0,0,canadacomputers
2022-02-06,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,2374.99,0,0,canadacomputers
2022-02-06,"Odyssey Neo G9 49in 32:9 Curved VA Gaming Monitor, 240Hz, 1ms, 1440P DQHD, Quantum Mini-LED, HDR, HAS",49,2499.99,0.0,0,memoryexpress
2022-02-09,"SAMSUNG Odyssey Neo G9 Series 49-Inch Dual QHD (5120x1440) Gaming Monitor, 240Hz, Curved, 5,120 x 1,440, Height Adjustable Stand, G-Sync, FreeSync Premium Pro (LS49AG952NNXZA)",49,2499.99,4.4,0,amazon.ca
2022-02-09,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync",49,2499.99,0,0,canadacomputers
2022-02-09,"Samsung 49"" Odyssey Neo G9 DQHD 5120x1440 Monitor With Quantum Mini-LED 32:9 VA 240Hz 1ms 1000R G-Sync(Open Box)",49,2374.99,0,0,canadacomputers
2022-02-09,"Odyssey Neo G9 49in 32:9 Curved VA Gaming Monitor, 240Hz, 1ms, 1440P DQHD, Quantum Mini-LED, HDR, HAS",49,2499.99,0.0,0,memoryexpress
2022-02-09,"Samsung Odyssey Neo G9 49"" S49AG952N 5120 x 1440 (2K) 240Hz 1ms (GTG) FreeSync Premium Pro G-Sync Compatible, DisplayPort HDMI, Height Adjust VESA Tilt Swivel Curved Gaming Monitor",49,2499.0,5.0,4,newegg.ca
